Author,Title,Word-count,File
"Ausonius, Decimus Magnus",Gratiarum Actio,5090,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa014.digilibLT-lat1.xml
"Ausonius, Decimus Magnus",Gratiarum Actio,5105,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa014.perseus-lat2.xml
"Ausonius, Decimus Magnus",Griphus Ternarii Numeri,1333,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa015.perseus-lat2.xml
"Ausonius, Decimus Magnus",Liber Protrepticus ad Nepotem,986,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa016.perseus-lat2.xml
"Ausonius, Decimus Magnus",Ludus Septem Sapientum,1733,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa018.perseus-lat2.xml
"Ausonius, Decimus Magnus",Mosella,3893,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa019.perseus-lat2.xml
"Ausonius, Decimus Magnus",Oratio Versibus Rhopalicis,268,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa020.perseus-lat2.xml
"Ausonius, Decimus Magnus",Ordo Urbium Nobilium,1295,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa021.perseus-lat2.xml
"Ausonius, Decimus Magnus",Parentalia,3197,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa022.perseus-lat2.xml
"Ausonius, Decimus Magnus",Praefatiunculae,673,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa025.perseus-lat2.xml
"Ausonius, Decimus Magnus",Precationes,587,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa026.perseus-lat2.xml
"Ausonius, Decimus Magnus",Technopaegnion,1859,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa028.perseus-lat2.xml
"Ausonius, Decimus Magnus",Versus Paschales Prosodic,240,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa027.perseus-lat2.xml
"Ausonius, Decimus Magnus",[Libri de Fastis] Conclusio,181,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa017.perseus-lat2.xml
"Bede the Venerable, Saint 673-735",De Locis Santis,4477,lemmatized/xml/urn:cts:latinLit:stoa0054.stoa001a.opp-lat1.xml
Boethius d. 524,Commentaria in Porphyrium A Se Translatum,31415,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa007.opp-lat2.xml
Boethius d. 524,Commentaria in Porphyrium A Se Translatum,44573,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa007.opp-lat3.xml
Boethius d. 524,De Fide Catholica,2186,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa006.perseus-lat1.xml
Boethius d. 524,De consolatione philosophiae,29067,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa001.perseus-lat2.xml
Boethius d. 524,De consolatione philosophiae,30954,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa001.opp-lat3.xml
Boethius d. 524,Liber De Persona et Duabus Naturis Contra Eutychen Et Nestorium,6783,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa023.perseus-lat1.xml
Boethius d. 524,Quomodo Substantiae in Eo Quod Sint Bonae Sint Cum Non Sint Substantialia Bona,1592,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa003.perseus-lat1.xml
Boethius d. 524,Quomodo Trinitas Unus Deus Ac Non Tres Dii (De Trinitate),3349,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa025.perseus-lat1.xml
Boethius d. 524,Utrum Pater Et Filius Ac Spiritus Sanctus De Divinitate Substantialiter Praedicentur Liber,611,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa028.perseus-lat1.xml
Boethius,In categorias Aristotelis commentarius,10993,lemmatized/xml/urn:cts:latinLit:stoa0058.stoa021.digilibLT-lat1.xml
Caelius Aurelianus,Celerum passionum libri III,60141,lemmatized/xml/urn:cts:latinLit:stoa0041a.stoa001.digilibLT-lat1.xml
Caelius Aurelianus,De salutaribus praeceptis,2936,lemmatized/xml/urn:cts:latinLit:stoa0041a.stoa003.digilibLT-lat1.xml
Caelius Aurelianus,De speciali significatione diaeticarum passionum,6446,lemmatized/xml/urn:cts:latinLit:stoa0041a.stoa004.digilibLT-lat1.xml
Caelius Aurelianus,Gynaeciorum Sorani e graeco uersorum et retractatorum quae exstant,32525,lemmatized/xml/urn:cts:latinLit:stoa0041a.stoa005.digilibLT-lat1.xml
Caelius Aurelianus,Tardarum passionum libri V,78461,lemmatized/xml/urn:cts:latinLit:stoa0041a.stoa002.digilibLT-lat1.xml
"Caesar, Julius",De Bello Civili,37978,lemmatized/xml/urn:cts:latinLit:phi0448.phi002.perseus-lat2.xml
"Caesar, Julius",De Bello Gallico,60040,lemmatized/xml/urn:cts:latinLit:phi0448.phi001.perseus-lat2.xml
Caius Iulius Hyginus,Fabvlae,32092,lemmatized/xml/urn:cts:latinLit:phi1263.phi001.corpuscorporum-lat1.xml
Calpurnius Flaccus,Declamationum excerpta,8491,lemmatized/xml/urn:cts:latinLit:stoa0072.stoa001.digilibLT-lat1.xml
Calpurnius Siculus,Eclogues,6167,lemmatized/xml/urn:cts:latinLit:phi0830.phi001.thayer-lat1.xml
"Cassian, John ca. 360-ca. 435",Conlationes Patrum (Collationibus)-Selections,162611,lemmatized/xml/urn:cts:latinLit:stoa0076c.stoa001.opp-lat2.xml
"Cassian, John ca. 360-ca. 435",De Incarnatione Domini Contra Nestorum,46018,lemmatized/xml/urn:cts:latinLit:stoa0076c.stoa003.opp-lat1.xml
"Cassian, John ca. 360-ca. 435",Institutiones,54962,lemmatized/xml/urn:cts:latinLit:stoa0076c.stoa002.opp-lat2.xml
Cassiodorus,"Anecdoton Holderi quod dicitur, scilicet excerpta ex Cassiodori libello de ordine generis Cassiodororum",233,lemmatized/xml/urn:cts:latinLit:stoa0077.stoa024.digilibLT-lat1.xml
Cassiodorus,Chronica,16362,lemmatized/xml/urn:cts:latinLit:stoa0077.stoa006.digilibLT-lat1.xml
Cassiodorus,De orthographia,18878,lemmatized/xml/urn:cts:latinLit:stoa0077.stoa016.digilibLT-lat1.xml
Cassiodorus,Institutiones,33349,lemmatized/xml/urn:cts:latinLit:stoa0077.stoa003.digilibLT-lat1.xml
Cassius Felix,De medicina,33933,lemmatized/xml/urn:cts:latinLit:stoa0077a.stoa001.digilibLT-lat1.xml
Catholic Church Pope,Epistulae imperatorum pontificum aliorum,108698,lemmatized/xml/urn:cts:latinLit:stoa0045a.stoa001.opp-lat1.xml
Catholic Church Pope,Epistulae imperatorum pontificum aliorum,69568,lemmatized/xml/urn:cts:latinLit:stoa0045a.stoa001.opp-lat2.xml
Cato,De Agricultura,19788,lemmatized/xml/urn:cts:latinLit:phi0022.phi001.thayer-lat1.xml
Catullus,Carmina,15647,lemmatized/xml/urn:cts:latinLit:phi0472.phi001.perseus-lat2.xml
"Celsus, Aulus Cornelius",De Medicina,129142,lemmatized/xml/urn:cts:latinLit:phi0836.phi002.perseus-lat6.xml
"Celsus, Aulus Cornelius",De Medicina,128079,lemmatized/xml/urn:cts:latinLit:phi0836.phi002.perseus-lat4.xml
"Celsus, Aulus Cornelius",De Medicina,133429,lemmatized/xml/urn:cts:latinLit:phi0836.phi002.perseus-lat5.xml
Cicero,Academica,5587,lemmatized/xml/urn:cts:latinLit:phi0474.phi045.perseus-lat1.xml
Cicero,Against Catiline,14745,lemmatized/xml/urn:cts:latinLit:phi0474.phi013.perseus-lat2.xml
Cicero,Against Piso,13006,lemmatized/xml/urn:cts:latinLit:phi0474.phi027.perseus-lat2.xml
Cicero,Against Vatinius,5361,lemmatized/xml/urn:cts:latinLit:phi0474.phi023.perseus-lat2.xml
Cicero,Against Verres,119733,lemmatized/xml/urn:cts:latinLit:phi0474.phi005.perseus-lat2.xml
Cicero,Brutus,29793,lemmatized/xml/urn:cts:latinLit:phi0474.phi039.perseus-lat1.xml
Cicero,De Amicitia,11161,lemmatized/xml/urn:cts:latinLit:phi0474.phi052.perseus-lat2.xml
Cicero,De Divinatione,34069,lemmatized/xml/urn:cts:latinLit:phi0474.phi053.perseus-lat1.xml
Cicero,De Fato,6355,lemmatized/xml/urn:cts:latinLit:phi0474.phi054.perseus-lat1.xml
Cicero,De Inventione,41251,lemmatized/xml/urn:cts:latinLit:phi0474.phi036.perseus-lat1.xml
Cicero,De Officiis,41434,lemmatized/xml/urn:cts:latinLit:phi0474.phi055.perseus-lat1.xml
Cicero,De Optimo Genere Oratorum,1894,lemmatized/xml/urn:cts:latinLit:phi0474.phi041.perseus-lat1.xml
Cicero,De Republica,26369,lemmatized/xml/urn:cts:latinLit:phi0474.phi043.perseus-lat1.xml
Cicero,De Senectute,9887,lemmatized/xml/urn:cts:latinLit:phi0474.phi051.perseus-lat1.xml
Cicero,Divinatio against Q. Caecilius,6954,lemmatized/xml/urn:cts:latinLit:phi0474.phi004.perseus-lat2.xml
Cicero,For Aemilius Scaurus,3538,lemmatized/xml/urn:cts:latinLit:phi0474.phi029.perseus-lat2.xml
Cicero,For Archias,3602,lemmatized/xml/urn:cts:latinLit:phi0474.phi016.perseus-lat2.xml
Cicero,For Aulus Caecina,12364,lemmatized/xml/urn:cts:latinLit:phi0474.phi008.perseus-lat2.xml
Cicero,For Aulus Cluentius,24155,lemmatized/xml/urn:cts:latinLit:phi0474.phi010.perseus-lat2.xml
Cicero,For Cornelius Balbus,8014,lemmatized/xml/urn:cts:latinLit:phi0474.phi026.perseus-lat2.xml
Cicero,For Flaccus,13230,lemmatized/xml/urn:cts:latinLit:phi0474.phi017.perseus-lat2.xml
Cicero,For King Deiotarus,4639,lemmatized/xml/urn:cts:latinLit:phi0474.phi034.perseus-lat2.xml
Cicero,For Ligarius,3957,lemmatized/xml/urn:cts:latinLit:phi0474.phi033.perseus-lat2.xml
Cicero,For Lucius Murena,12536,lemmatized/xml/urn:cts:latinLit:phi0474.phi014.perseus-lat2.xml
Cicero,For Marcellus,3246,lemmatized/xml/urn:cts:latinLit:phi0474.phi032.perseus-lat2.xml
Cicero,For Marcus Caelius,10063,lemmatized/xml/urn:cts:latinLit:phi0474.phi024.perseus-lat2.xml
Cicero,For Marcus Fonteius,5313,lemmatized/xml/urn:cts:latinLit:phi0474.phi007.perseus-lat2.xml
Cicero,For Marcus Tullius,4089,lemmatized/xml/urn:cts:latinLit:phi0474.phi006.perseus-lat2.xml
Cicero,For Milo,12541,lemmatized/xml/urn:cts:latinLit:phi0474.phi031.perseus-lat2.xml
Cicero,For Plancius,13796,lemmatized/xml/urn:cts:latinLit:phi0474.phi028.perseus-lat2.xml
